artifact_set_version,artifact_id,title,text_alternative,row_order,headers_json,row_json
S3-VIZ-A11Y-v1,S3-VIZ-01-A11Y@1,ranked startup comparison,"Twenty named startups each have one snapshot revenue value in USD. Values range from $600 to $29,800; several names are long, and the reader must locate the five largest values. There is no date sequence. Country is present but is not the requested comparison",1,"[""Example startup"",""Revenue, last 30 days (USD)""]","[""Atlas Forms"",""29,800""]"
S3-VIZ-A11Y-v1,S3-VIZ-01-A11Y@1,ranked startup comparison,"Twenty named startups each have one snapshot revenue value in USD. Values range from $600 to $29,800; several names are long, and the reader must locate the five largest values. There is no date sequence. Country is present but is not the requested comparison",2,"[""Example startup"",""Revenue, last 30 days (USD)""]","[""BriefPilot"",""21,400""]"
S3-VIZ-A11Y-v1,S3-VIZ-01-A11Y@1,ranked startup comparison,"Twenty named startups each have one snapshot revenue value in USD. Values range from $600 to $29,800; several names are long, and the reader must locate the five largest values. There is no date sequence. Country is present but is not the requested comparison",3,"[""Example startup"",""Revenue, last 30 days (USD)""]","[""CartSignal"",""18,900""]"
S3-VIZ-A11Y-v1,S3-VIZ-01-A11Y@1,ranked startup comparison,"Twenty named startups each have one snapshot revenue value in USD. Values range from $600 to $29,800; several names are long, and the reader must locate the five largest values. There is no date sequence. Country is present but is not the requested comparison",4,"[""Example startup"",""Revenue, last 30 days (USD)""]","[""DeskMint"",""11,250""]"
S3-VIZ-A11Y-v1,S3-VIZ-01-A11Y@1,ranked startup comparison,"Twenty named startups each have one snapshot revenue value in USD. Values range from $600 to $29,800; several names are long, and the reader must locate the five largest values. There is no date sequence. Country is present but is not the requested comparison",5,"[""Example startup"",""Revenue, last 30 days (USD)""]","[""EchoKit"",""8,700""]"
S3-VIZ-A11Y-v1,S3-VIZ-02-A11Y@1,traffic and revenue relationship,"Each complete record contributes two quantitative values: visitors in the last 30 days and revenue in the same 30 days. The sample includes a dense low-value cluster, two high-visitor records with modest revenue, and one high-revenue outlier. Some source records are missing one of the two fields",1,"[""Illustrative record"",""Visitors, 30d"",""Revenue, 30d (USD)""]","[""R1"",""1,200"",""900""]"
S3-VIZ-A11Y-v1,S3-VIZ-02-A11Y@1,traffic and revenue relationship,"Each complete record contributes two quantitative values: visitors in the last 30 days and revenue in the same 30 days. The sample includes a dense low-value cluster, two high-visitor records with modest revenue, and one high-revenue outlier. Some source records are missing one of the two fields",2,"[""Illustrative record"",""Visitors, 30d"",""Revenue, 30d (USD)""]","[""R2"",""4,800"",""3,600""]"
S3-VIZ-A11Y-v1,S3-VIZ-02-A11Y@1,traffic and revenue relationship,"Each complete record contributes two quantitative values: visitors in the last 30 days and revenue in the same 30 days. The sample includes a dense low-value cluster, two high-visitor records with modest revenue, and one high-revenue outlier. Some source records are missing one of the two fields",3,"[""Illustrative record"",""Visitors, 30d"",""Revenue, 30d (USD)""]","[""R3"",""9,500"",""4,100""]"
S3-VIZ-A11Y-v1,S3-VIZ-02-A11Y@1,traffic and revenue relationship,"Each complete record contributes two quantitative values: visitors in the last 30 days and revenue in the same 30 days. The sample includes a dense low-value cluster, two high-visitor records with modest revenue, and one high-revenue outlier. Some source records are missing one of the two fields",4,"[""Illustrative record"",""Visitors, 30d"",""Revenue, 30d (USD)""]","[""R4"",""11,000"",""17,500""]"
S3-VIZ-A11Y-v1,S3-VIZ-02-A11Y@1,traffic and revenue relationship,"Each complete record contributes two quantitative values: visitors in the last 30 days and revenue in the same 30 days. The sample includes a dense low-value cluster, two high-visitor records with modest revenue, and one high-revenue outlier. Some source records are missing one of the two fields",5,"[""Illustrative record"",""Visitors, 30d"",""Revenue, 30d (USD)""]","[""R5"",""24,000"",""6,300""]"
