asset_id,session,asset,path_or_url,owner_role,status,dependency,due_gate,validation_evidence,signatory
GLOBAL-ARCH-01,GLOBAL,course concept,docs/course/course-1-concept.md,course architect,Drafted,MU workload approval,Architecture gate,independent release review,course architect
GLOBAL-ARCH-02,GLOBAL,architecture contract,docs/course/course-1-architecture-v2.md,course architect,Drafted,MU academic approval,Architecture gate,independent release review,academic owner
GLOBAL-OUT-01,GLOBAL,outcome registry,docs/course/outcome-registry.md,assessment lead,Drafted,LMS join implementation,Content gate,referential integrity test,assessment lead
GLOBAL-GRADE-01,GLOBAL,gradebook map,docs/assessment/course-1-gradebook-map.md,assessment lead,Drafted,MU weights and staffing,Assessment gate,scorer calibration pilot,academic owner
GLOBAL-MAT-01,GLOBAL,student field guide,docs/materials/course-field-guide.md,course materials owner,Drafted,approved doctrine,T-2 weeks,student comprehension pilot,course architect
GLOBAL-MAT-02,GLOBAL,student evidence/prototype/proof workbook,docs/materials/student-workbook.md,course materials owner,Drafted,outcome registry,T-3 weeks,three-stream learner pilot,course architect
GLOBAL-POL-01,GLOBAL,AI integrity and publication policy,docs/materials/ai-integrity-publication-policy.md,academic/privacy owner,Drafted,MU policy and governance,T-3 weeks,policy quiz and sign-off,academic owner
GLOBAL-FAC-01,GLOBAL,facilitator handbook,docs/materials/facilitator-handbook.md,delivery lead,Drafted,all lesson assets,T-2 weeks,timed facilitator rehearsal,delivery lead
GLOBAL-CAL-01,GLOBAL,rubric anchor index,docs/assessment/rubric-anchor-index.md,assessment lead,Authored,independent calibration,T-2 weeks,inter-rater agreement,assessment lead
GLOBAL-DATA-01,GLOBAL,data governance decision,docs/operations/data-governance-decision-sheet.md,privacy owner,Drafted,named signatories,T-6 weeks,legal/security approval,MU and Praxel privacy
GLOBAL-OPS-01,GLOBAL,assessment operations model,docs/operations/assessment-operations-model.md,assessment lead,Drafted,staffing confirmation,T-6 weeks,capacity sign-off,academic owner
GLOBAL-LMS-01,GLOBAL,LMS concept,docs/lms/course-1-lms-concept.md,LMS product lead,Drafted,architecture approval,Product gate,forward test,LMS product lead
GLOBAL-LMS-02,GLOBAL,task attempt exchange contract,docs/lms/task-attempt-exchange-contract.md,LMS product lead,Drafted,privacy and matcher implementation,Product gate,480-roster load test,LMS privacy and assessment
GLOBAL-VAL-01,GLOBAL,validator contracts,docs/lms/validator-contracts.md,technical validation owner,Drafted,fixture implementation,Technical gate,pass/partial/fail/unsafe suites,assessment lead
GLOBAL-MATURITY-01,GLOBAL,pre/post instrument blueprint,docs/assessment/pre-post-maturity-blueprint.md,assessment lead,Drafted,parallel forms and pilot,Assessment gate,form equivalence and scorer agreement,academic owner
GLOBAL-EXP-01,GLOBAL,ten-session experience map,docs/course/session-experience-map.md,course architect,Authored,cold-student audit,Content gate,independent session audit,course architect
GLOBAL-REL-01,GLOBAL,session package release contract,docs/operations/session-package-release-contract.md,course architect,Authored,independent package audit,Content gate,structural and cold-student validation,course architect
GLOBAL-ONB-01,GLOBAL,pre-course onboarding pack,docs/materials/pre-course-onboarding-pack.md,delivery and assessment lead,Authored,MU stack and policy approval,T-2 weeks,learner comprehension and technology pilot,delivery lead
GLOBAL-MATURITY-02,GLOBAL,maturity Part A scenario Forms A and B,docs/assessment/maturity-part-a-forms.md,assessment lead,Authored,item and form pilot,Assessment gate,expert agreement and item statistics,academic owner
GLOBAL-MATURITY-03,GLOBAL,maturity Part B student missions,docs/assessment/maturity-performance-missions-student.md,assessment lead,Authored,mode/form equivalence pilot,Assessment gate,timing and form equivalence,academic owner
GLOBAL-MATURITY-04,GLOBAL,maturity Part B evaluator key,docs/assessment/maturity-performance-missions-evaluator.md,assessment lead,Authored,scorer calibration,Assessment gate,inter-rater agreement,academic owner
GLOBAL-MATURITY-05,GLOBAL,maturity Part A secured reserve form,docs/assessment/maturity-part-a-reserve-secured.md,assessment lead,Authored,item and form pilot,Assessment gate,expert agreement and reserve equivalence,academic owner
GLOBAL-MATURITY-06,GLOBAL,maturity Part B reserve student missions,docs/assessment/maturity-performance-reserve-student.md,assessment lead,Authored,reserve equivalence pilot,Assessment gate,timing and construct equivalence,academic owner
GLOBAL-MATURITY-07,GLOBAL,maturity Part B reserve evaluator key,docs/assessment/maturity-performance-reserve-evaluator.md,assessment lead,Authored,scorer calibration,Assessment gate,inter-rater agreement,academic owner
GLOBAL-MATURITY-08,GLOBAL,maturity reserve administration,docs/assessment/maturity-reserve-administration.md,assessment and delivery lead,Authored,security accessibility and incident pilot,Assessment gate,containment and parity tests,academic owner
S01-LP-01,S01,lesson plan,docs/lessons/session-01-find-the-leverage/lesson-plan.md,lesson owner,Drafted,content pack,Content gate,independent lesson validation,course architect
S01-QZ-01,S01,quiz A/B,docs/lessons/session-01-find-the-leverage/quiz.md,assessment lead,Drafted,item pilot,Assessment gate,item review statistics,assessment lead
S01-BUNDLE-01,S01,complete student instructor LMS source bundle,docs/lessons/session-01-find-the-leverage/session-contract.md,lesson owner,Authored,independent cross-audit and timed pilot,Content gate,release-contract and cold-student audit,course architect
S01-PACK-01,S01,eleven pathway content packs,docs/lessons/session-01-find-the-leverage/content-packs.md,stream producers,Authored,independent stream review,Equivalence gate,noun-swap and time pilot,stream reviewer
S01-SIM-01,S01,Evidence Under Pressure fixtures,docs/lessons/session-01-find-the-leverage/simulator-spec.md,simulation producer,Authored,LMS implementation,Technical gate,state and fallback tests,LMS product lead
S01-FALL-01,S01,offline/accessibility pack,docs/lessons/session-01-find-the-leverage/accessibility-fallback.md,delivery/accessibility,Authored,accessibility and outage pilot,Accessibility gate,outage drill,accessibility owner
