variant_id,pathway_pack_id,equivalence_group,context_label,decision_metric,seeded_layer_class,substantive_change_class,guardrail_class,reading_band,calculation_band,section_embargo
S10-CONS-A,S10-CONS-PACK-01,EG-RECOMMEND-1,fictional_service_client,value_range,source_change,value_logic_and_pilot,client_authority,anchor,anchor,A
S10-FOCOS-A,S10-FOCOS-PACK-01,EG-PRIORITY-1,fictional_multiunit_firm,priority_capacity,input_schema,escalation_and_priority,ceo_approval,anchor,lower,B
S10-PM-A,S10-PM-PACK-01,EG-RELEASE-1,fictional_b2b_product,task_guardrail,user_event,fallback_and_acceptance,trust_review,anchor,lower,C
S10-IB-A,S10-FIN-IB-PACK-01,EG-FIN-TRACE-1,fictional_transaction,normalized_multiple,period_normalization,model_and_implication,vp_approval,anchor,higher,D
S10-VC-A,S10-FIN-VC-PACK-01,EG-INVEST-1,fictional_startup,advance_gate,evidence_basis,diligence_gate,ic_authority,anchor,anchor,E
S10-CF-A,S10-FIN-CF-PACK-01,EG-FIN-TRACE-2,fictional_business_unit,capex_sensitivity,formula_currency,model_and_stage,cfo_approval,anchor,higher,F
S10-HR-A,S10-HR-PACK-01,EG-HIGHIMPACT-1,fictional_workforce_case,subgroup_guardrail,proxy_policy,review_and_appeal,human_decision,anchor,lower,G
S10-SCO-A,S10-SCO-PACK-01,EG-RELIABILITY-1,fictional_supply_network,service_cost,idempotency,fallback_and_override,operator_approval,lower,anchor,H
S10-SALES-A,S10-SALES-PACK-01,EG-PERMISSION-1,fictional_account,next_action,consent_source,stop_verify_approve,seller_authority,lower,lower,A
S10-MKT-A,S10-MKT-PACK-01,EG-CLAIM-1,fictional_category,experiment_guardrail,claim_policy,asset_and_test,brand_legal,lower,lower,B
S10-DATA-A,S10-DATA-PACK-01,EG-VALIDITY-1,fictional_dataset,decision_metric,metric_leakage,pipeline_test_decision,data_owner,anchor,higher,C
S10-CONS-B,S10-CONS-PACK-01,EG-RECOMMEND-1,fictional_claims_client,value_range,source_and_adoption,value_logic_and_pilot,client_authority,anchor,anchor,E
S10-FOCOS-B,S10-FOCOS-PACK-01,EG-PRIORITY-1,fictional_regulated_firm,priority_capacity,missing_owner,escalation_and_priority,ceo_approval,anchor,lower,F
S10-PM-B,S10-PM-PACK-01,EG-RELEASE-1,fictional_checkout_product,task_guardrail,accessibility_path,fallback_and_acceptance,trust_review,anchor,lower,G
S10-IB-B,S10-FIN-IB-PACK-01,EG-FIN-TRACE-1,fictional_leverage_case,leverage_ratio,late_covenant,model_and_implication,vp_approval,anchor,higher,H
S10-VC-B,S10-FIN-VC-PACK-01,EG-INVEST-1,fictional_subscription_startup,advance_gate,cohort_definition,diligence_gate,ic_authority,anchor,anchor,A
S10-CF-B,S10-FIN-CF-PACK-01,EG-FIN-TRACE-2,fictional_working_capital,cash_release,formula_sign,model_and_stage,cfo_approval,anchor,higher,B
S10-HR-B,S10-HR-PACK-01,EG-HIGHIMPACT-1,fictional_policy_case,appeal_state,appeal_trigger,review_and_appeal,human_decision,anchor,lower,C
S10-SCO-B,S10-SCO-PACK-01,EG-RELIABILITY-1,fictional_supplier_timeout,one_action,commit_timeout,fallback_and_override,operator_approval,lower,anchor,D
S10-SALES-B,S10-SALES-PACK-01,EG-PERMISSION-1,fictional_security_request,claim_state,document_instruction,stop_verify_approve,seller_authority,lower,lower,E
S10-MKT-B,S10-MKT-PACK-01,EG-CLAIM-1,fictional_creative_test,qualified_outcome,asset_rights,asset_and_test,brand_legal,lower,lower,F
S10-DATA-B,S10-DATA-PACK-01,EG-VALIDITY-1,fictional_activation_series,activation_rate,definition_shift,pipeline_test_decision,data_owner,anchor,higher,G
