claim_id,pathway_pack_id,evidence_id,permitted_claim,uncertainty,forbidden_overclaim,owner,public_status
D-1,S08-PM-PACK-01,run-demo-8,approval defect did not recur in 8 synthetic reruns,limited synthetic fixture,system is fully safe,product_lead,public_labelled
D-2,S08-PM-PACK-01,lat-demo-2,median synthetic latency was 4.2 seconds,small controlled sample,50 percent faster,product_lead,public_labelled
H-IB-1,S08-FIN-IB-PACK-01,src-ib-4,normalized multiple changed after period correction,fixture not a live deal,target is mispriced,deal_vp,private
H-HR-1,S08-HR-PACK-01,test-hr-3,supplied subgroup check passed after proxy removal,does not prove deployment fairness,bias eliminated,hr_lead,private
H-MKT-1,S08-MKT-PACK-01,test-mkt-5,variant B led on stated synthetic outcome,claim and sample constrained,campaign will win,brand_lead,public_labelled
H-DATA-1,S08-DATA-PACK-01,test-data-7,metric changed under definition v2,decision depends on agreed definition,v1 was fraudulent,data_owner,private
H-CONS-1,S08-CONS-PACK-01,src-cons-2,verified saving range narrowed after late source,adoption remains uncertain,transformation guaranteed,client_sponsor,private
H-FOCOS-1,S08-FOCOS-PACK-01,log-focos-3,critical initiative lacks an accountable owner,priority may change after CEO review,initiative will definitely fail,ceo_staff,private
H-PM-1,S08-PM-PACK-01,run-pm-4,unsafe edge now routes to trust review,limited supplied paths,product is fully safe,product_lead,public_labelled
H-VC-1,S08-FIN-VC-PACK-01,src-vc-6,retention claim remains unverified,pending primary cohort records,startup has no retention,deal_lead,private
H-CF-1,S08-FIN-CF-PACK-01,model-cf-8,downside case makes staged capex preferable,assumption sensitive,capex will destroy value,cfo,private
H-SCO-1,S08-SCO-PACK-01,run-sco-9,duplicate event produced one action after repair,timeout path still manual,workflow never duplicates,control_tower,private
H-SALES-1,S08-SALES-PACK-01,src-sales-3,opt-out now blocks outbound action,consent status can change,account is not interested,sales_manager,private
H-CONS-2,S08-CONS-PACK-01,calc-cons-4,pilot value is a sensitivity range rather than a point estimate,adoption remains simulated,client will save this amount,client_sponsor,private
H-CONS-3,S08-CONS-PACK-01,run-cons-5,one workflow boundary remained human-approved,limited supplied paths,client operations are automated,client_sponsor,private
H-FOCOS-2,S08-FOCOS-PACK-01,rule-focos-4,capacity rule permits one leadership slot,regulatory override remains human,initiative A is objectively best,ceo_staff,private
H-FOCOS-3,S08-FOCOS-PACK-01,log-focos-5,regulatory item was escalated after constraint reveal,CEO has not approved priority,CEO selected this initiative,ceo_staff,private
H-PM-2,S08-PM-PACK-01,test-pm-6,standard task met the supplied acceptance test,limited fixture paths,users love the experience,product_lead,public_labelled
H-PM-3,S08-PM-PACK-01,log-pm-7,trust approval remains required before release,no production deployment,feature is ready for all users,product_lead,private
H-IB-2,S08-FIN-IB-PACK-01,calc-ib-5,comparable multiple was normalized to the stated period,synthetic transaction fixture,market supports the valuation,deal_vp,private
H-IB-3,S08-FIN-IB-PACK-01,src-ib-6,late filing changed the deal implication,committee has not recommended action,deal should proceed,deal_vp,private
H-VC-2,S08-FIN-VC-PACK-01,src-vc-7,gross margin evidence is supported by supplied records,records remain synthetic,company metrics are verified,deal_lead,private
H-VC-3,S08-FIN-VC-PACK-01,gate-vc-8,investment state remains hold pending cohort records,IC has not decided,investment should be rejected,deal_lead,private
H-CF-2,S08-FIN-CF-PACK-01,calc-cf-9,downside sensitivity changed the preferred staging sequence,assumption sensitive,CFO approved capex,cfo,private
H-CF-3,S08-FIN-CF-PACK-01,rule-cf-10,CFO approval remains required for the capital action,no live budget authority,capital has been committed,cfo,private
H-HR-2,S08-HR-PACK-01,policy-hr-4,manager guidance cites the supplied fictional policy,case facts remain synthetic,policy requires discipline,hr_lead,private
H-HR-3,S08-HR-PACK-01,appeal-hr-5,employee appeal remains available after the recommendation,no individual outcome decided,case was resolved fairly,hr_lead,private
H-SCO-2,S08-SCO-PACK-01,run-sco-10,timeout path routes to manual control-tower review,night-shift fixture only,workflow is always available,control_tower,private
H-SCO-3,S08-SCO-PACK-01,calc-sco-11,service and cost trade-off is visible to the planner,not production performance,costs were optimized,control_tower,private
H-SALES-2,S08-SALES-PACK-01,src-sales-6,approved product claim remains source-linked,source may become stale,prospect will buy,sales_manager,private
H-SALES-3,S08-SALES-PACK-01,action-sales-7,seller approval remains required before any send,no customer communication occurred,message was sent successfully,sales_manager,private
H-MKT-2,S08-MKT-PACK-01,claim-mkt-6,winning frame uses an approved claim ID,synthetic experiment only,audience prefers this campaign,brand_lead,public_labelled
H-MKT-3,S08-MKT-PACK-01,asset-mkt-7,generated asset carries source and disclosure ledger,audience effect untested,asset is rights-free everywhere,brand_lead,public_labelled
H-DATA-2,S08-DATA-PACK-01,lineage-data-8,decision number traces to metric definition v2,synthetic rows only,metric is universally valid,data_owner,private
H-DATA-3,S08-DATA-PACK-01,test-data-9,accessible table preserves the chart values,stakeholder interpretation untested,dashboard caused the decision,data_owner,private
